x,y,dprec,prec,dndvi,ndvi,dtemp,temp,evapot,elevation,soilmo,phreat,dsat0,sat0,dsat1,sat1,dsat2,sat2,dsat3,sat3,gwlvl,truth
0,0,1.6506,21.1165,41.6286,3075.0,-0.063,7.1635,7.6555,1628.4061,0.0869,-0.0,811.5,-12.3333,1070.5,-24.1667,1348.5,-34.6667,2319.0,156.5833,26.7355,-0.2732
0,10,1.2818,16.799,22.4,3213.0,-0.0616,6.987,7.6555,1612.1488,0.0869,0.0,1070.5,49.25,1368.0,53.5,1681.5,78.8333,2096.0,68.75,62.5316,-0.3676
0,20,1.0847,15.972,-7.6857,3183.0,-0.0641,5.9,7.5152,1886.0326,0.091,0.0,700.0,-43.4167,937.5,-54.3333,1238.0,-66.0,1907.0,-145.0,25.3074,-0.1848
0,30,0.8211,15.146,-15.6,2784.0,-0.0466,8.3575,7.5152,1426.7537,0.091,0.0,980.0,22.5,1344.0,47.75,1775.0,33.0833,2681.0,-228.0833,26.1372,-0.2753
0,40,0.7188,15.4215,36.3714,3507.0,-0.048,6.634,6.8223,2087.3484,0.0847,-18.7107,782.0,22.8333,1005.0,14.8333,1289.0,45.1667,2012.0,151.6667,26.5309,-0.2725
0,50,0.7075,15.6675,-36.9714,2714.0,-0.0199,6.288,6.4975,1840.0084,0.2602,0.0,867.5,-25.6667,1177.0,-19.5,1592.0,49.25,2288.5,47.5,28.1896,-0.1552
0,60,0.6899,15.742,10.2571,2357.0,-0.0121,6.162,6.4975,1838.6147,0.2602,0.0,1418.5,-57.5833,1840.5,-48.6667,2253.0,-45.9167,2794.0,-86.8333,29.4738,-0.0738
0,70,0.7166,14.516,29.8857,1697.0,-0.0111,6.941,6.0879,1614.1969,0.2932,-0.0,1043.5,41.4167,1300.5,-25.0833,1657.0,-33.6667,2080.5,-108.3333,35.2725,-0.0491
0,80,1.0296,17.9935,21.0,1898.0,0.0026,6.8495,6.298,1905.456,0.2892,0.0,915.0,-2.75,1243.0,-6.0833,1620.0,7.3333,2054.5,-56.5,35.7129,-0.0529
0,90,1.0731,19.093,20.8,2007.0,0.0242,5.4245,6.298,1912.7644,0.2892,-0.0,879.0,10.6667,1142.5,11.1667,1515.0,40.8333,2068.0,31.8333,36.1809,0.0561
0,100,1.1782,18.387,21.6857,2089.0,0.0012,5.064,6.7939,1890.1846,0.2905,-0.0,1078.0,33.3333,1337.5,13.5833,1635.0,15.75,1986.0,33.5,36.1216,0.0668
0,110,1.5447,20.0545,42.6,2036.0,-0.0426,5.422,6.2916,1877.5046,0.2882,-0.0,874.0,22.0,1160.0,49.9167,1481.0,55.1667,1948.5,23.1667,35.59,0.0501
0,120,1.1806,17.0005,27.0857,1891.0,-0.0812,6.1115,6.2916,1780.9972,0.2882,-0.0,889.0,-18.9167,1138.0,-50.8333,1436.0,-66.75,1939.0,-80.9167,25.7432,0.0666
0,130,0.8034,15.0225,23.5714,1453.0,-0.0753,6.24,5.358,1718.0648,0.2522,0.0,1820.5,-189.75,2353.0,-223.3333,2821.0,-273.8333,3221.0,-335.8333,32.2053,-0.0021
0,140,0.6992,15.4665,21.4286,1718.0,-0.079,6.59,4.7696,1839.5208,0.24,0.0,1069.0,11.25,1409.0,17.75,1809.0,24.6667,2209.0,-79.0,31.1596,-0.1091
0,150,0.7238,15.017,53.8286,1618.0,-0.0748,7.114,4.7696,1742.8142,0.24,0.0,1004.0,13.5,1386.0,2.8333,1844.0,9.3333,2291.5,-14.8333,29.7757,-0.1093
0,160,0.3326,12.372,39.0571,1739.0,-0.0831,8.2455,4.8592,1659.1897,0.1358,0.0,1068.0,26.0833,1414.0,5.4167,1793.0,-15.25,2196.0,-76.0,28.1011,-0.1097
0,170,0.4185,12.558,7.0857,1606.0,-0.0832,8.818,4.8592,1553.0627,0.1358,0.0,991.0,36.25,1250.0,-5.75,1577.0,-25.0833,1906.0,-118.75,26.0116,-0.1298
0,180,0.6429,13.601,19.0286,1428.0,-0.0809,8.82,4.5439,1469.2357,0.1092,0.0,1760.5,16.25,2491.0,39.0,3335.0,65.4167,3793.0,81.0833,17.021,-0.0881
0,190,0.882,17.0535,34.4,1667.0,-0.1055,8.5755,4.2821,1491.4357,0.0936,0.0,1094.5,34.75,1452.5,7.5833,1867.0,13.8333,2266.5,-27.9167,20.5642,-0.1128
0,200,1.4646,22.071,-81.2857,2357.0,-0.1189,7.5365,4.2821,1818.5796,0.0936,0.0,905.0,64.6667,1290.0,122.0,1711.0,133.0833,2341.0,49.9167,28.29,-0.0103
0,210,1.4799,15.489,260.5714,4659.0,-0.0442,9.3065,5.1786,1312.6284,0.08,0.0,1017.0,41.5833,1348.0,27.0,1740.0,40.25,2485.0,69.5,32.3873,0.0227
0,220,1.3029,14.525,55.2571,1854.0,-0.0364,9.2675,5.5317,1287.2722,0.1745,-0.0,1230.5,-34.3333,1657.0,-47.4167,2114.0,-43.9167,2625.5,-71.5,37.7989,0.0458
0,230,0.7668,17.3125,-44.0,1783.0,-0.0555,8.931,5.5317,1419.4493,0.1745,-0.0,1053.0,4.0833,1369.0,-10.4167,1722.5,-34.5,2138.0,-117.8333,44.8928,0.0191
0,240,1.1493,24.533,-58.8571,2394.0,-0.0847,8.0875,6.9731,1973.814,0.151,-0.0,1047.0,95.6667,1430.0,134.0833,1803.0,97.3333,2526.0,97.1667,50.6716,0.0281
0,250,1.285,25.512,-6.7,2321.0,-0.0678,8.124,9.509,1757.1548,0.1931,-0.0,1107.0,77.5833,1506.0,140.5833,1992.0,159.0833,2524.0,79.75,48.5755,0.0365
0,260,1.0026,42.789,7.3429,2679.0,-0.065,7.479,9.509,1955.2428,0.1931,-0.0,1060.5,3.5833,1512.5,142.9167,1908.0,178.0833,3025.0,256.1667,46.246,0.0465
0,270,1.1497,45.4425,-22.6857,2280.0,-0.0873,3.0685,10.4902,2525.701,0.3517,-0.0,893.0,-2326.0833,1298.5,-2004.8333,1722.5,-3256.3333,2788.5,-768.8333,64.3311,0.0638
0,280,0.513,40.9665,-41.4714,2701.0,-0.0725,8.422,9.4373,1897.7826,0.1599,-0.0,1067.0,161.25,1432.5,225.9167,1947.0,343.0833,2885.5,270.0,67.1933,0.0699
0,290,0.7791,22.9515,67.5714,2966.0,-0.0925,7.9735,9.4373,1692.1335,0.1599,-0.0,1120.5,24.5,1491.5,-20.8333,1971.0,38.25,2592.0,72.9167,69.5683,0.0707
0,300,0.9311,21.996,-21.4143,3205.0,-0.1238,7.447,7.9686,1568.5173,0.2807,0.0,1156.0,-51.6667,1529.0,-50.0833,1907.0,-95.6667,3843.0,444.0833,55.299,-0.0006
0,310,1.1958,22.9755,45.0286,2254.0,-0.1191,7.9385,6.5745,1618.6279,0.1521,0.0,965.0,-30.25,1272.0,-30.9167,1618.0,-24.6667,2031.0,-10.0,56.5524,-0.004
0,320,1.2706,20.7245,27.7143,2448.0,-0.1101,8.2805,6.5745,1601.0234,0.1521,-0.0,1000.5,-2.75,1304.5,-42.25,1681.5,-65.5833,2164.0,-115.0833,28.4382,0.6587
